"Imported  new data on february 13,2020  from the  2019 EIU Democracy Index  report; by using Tabula method to extract tables from PDF and convert them into excel. and append the data in this sheet ",,,,,,,,
"Imported data on february 18,2019  from the  2018 EIU Democracy Index  report; by using Tabula method to extract tables from PDF and convert them into excel ",,,,,,,,
Data come from annual report published by  The Economist Intelligence Unit,,,,,http://www.eiu.com/Handlers/WhitepaperHandler.ashx?fi=Democracy-Index-2019.pdf&mode=wp&campaignid=democracyindex2019,,,
Country,Rank,Overall score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Year
,,,Full democracies,,,,,2018
Norway,1,9.87,10.00,9.64,10.00,10.00,9.71,2018
Iceland,2,9.58,10.00,9.29,8.89,10.00,9.71,2018
Sweden,3,9.39,9.58,9.64,8.33,10.00,9.41,2018
New Zealand,4,9.26,10.00,9.29,8.89,8.13,10.00,2018
Denmark,5,9.22,10.00,9.29,8.33,9.38,9.12,2018
Canada,6=,9.15,9.58,9.64,7.78,8.75,10.00,2018
Ireland,6=,9.15,9.58,7.86,8.33,10.00,10.00,2018
Finland,8,9.14,10.00,8.93,8.33,8.75,9.71,2018
Australia,9,9.09,10.00,8.93,7.78,8.75,10.00,2018
Switzerland,10,9.03,9.58,9.29,7.78,9.38,9.12,2018
Netherlands,11,8.89,9.58,9.29,8.33,8.13,9.12,2018
Luxembourg,12,8.81,10.00,8.93,6.67,8.75,9.71,2018
Germany,13,8.68,9.58,8.57,8.33,7.50,9.41,2018
United Kingdom,14,8.53,9.58,7.50,8.33,8.13,9.12,2018
Uruguay,15,8.38,10.00,8.57,6.11,7.50,9.71,2018
Austria,16,8.29,9.58,7.86,8.33,6.88,8.82,2018
Mauritius,17,8.22,9.17,8.21,5.56,8.75,9.41,2018
Malta,18,8.21,9.17,8.21,6.11,8.75,8.82,2018
Spain,19,8.08,9.17,7.14,7.78,7.50,8.82,2018
Costa Rica,20,8.07,9.58,7.50,6.67,7.50,9.12,2018
,,,Flawed democracies,,,,,2018
South Korea,21.00,8.00,9.17,7.86,7.22,7.50,8.24,2018
Japan,22.00,7.99,8.75,8.21,6.67,7.50,8.82,2018
Chile,23=,7.97,9.58,8.57,4.44,8.13,9.12,2018
Estonia,23=,7.97,9.58,8.21,6.67,6.88,8.53,2018
United States of America,25.00,7.96,9.17,7.14,7.78,7.50,8.24,2018
Cabo Verde,26.00,7.88,9.17,7.86,6.67,6.88,8.82,2018
Portugal,27.00,7.84,9.58,7.50,6.11,6.88,9.12,2018
Botswana,28.00,7.81,9.17,7.14,6.11,7.50,9.12,2018
France,29.00,7.80,9.58,7.50,7.78,5.63,8.53,2018
Israel,30.00,7.79,9.17,7.50,8.89,7.50,5.88,2018
Belgium,31.00,7.78,9.58,8.93,5.00,6.88,8.53,2018
Taiwan,32.00,7.73,9.58,8.21,6.11,5.63,9.12,2018
Italy,33.00,7.71,9.58,6.07,7.78,6.88,8.24,2018
Czech Republic,34.00,7.69,9.58,6.79,6.67,6.88,8.53,2018
Cyprus,35.00,7.59,9.17,6.43,6.67,6.88,8.82,2018
Slovenia,36=,7.50,9.58,6.79,6.67,6.25,8.24,2018
Lithuania,36=,7.50,9.58,6.43,6.11,6.25,9.12,2018
Latvia,38.00,7.38,9.58,6.07,5.56,6.88,8.82,2018
Greece,39.00,7.29,9.58,5.36,6.11,6.88,8.53,2018
South Africa,40.00,7.24,7.42,7.50,8.33,5.00,7.94,2018
India,41.00,7.23,9.17,6.79,7.22,5.63,7.35,2018
Timor-Leste,42.00,7.19,9.08,6.79,5.56,6.88,7.65,2018
Trinidad and Tobago,43.00,7.16,9.58,7.14,6.11,5.63,7.35,2018
Slovakia,44.00,7.10,9.58,6.79,5.56,5.63,7.94,2018
Panama,45.00,7.05,9.58,6.07,6.67,5.00,7.94,2018
Bulgaria,46.00,7.03,9.17,6.43,7.22,4.38,7.94,2018
Argentina,47=,7.02,9.17,5.36,6.11,6.25,8.24,2018
Jamaica,47=,7.02,8.75,7.14,4.44,6.25,8.53,2018
Suriname,49.00,6.98,9.17,6.43,6.67,5.00,7.65,2018
Brazil,50.00,6.97,9.58,5.36,6.67,5.00,8.24,2018
Colombia,51.00,6.96,9.17,6.79,5.00,5.63,8.24,2018
Malaysia,52.00,6.88,7.75,7.86,6.67,6.25,5.88,2018
Philippines,53.00,6.71,9.17,5.71,7.22,4.38,7.06,2018
Poland,54=,6.67,9.17,6.07,6.11,4.38,7.65,2018
Guyana,54=,6.67,9.17,5.71,6.11,5.00,7.35,2018
Lesotho,56.00,6.64,9.17,5.00,6.67,5.63,6.76,2018
Ghana,57=,6.63,8.33,5.71,6.67,6.25,6.18,2018
Hungary,57=,6.63,8.75,6.07,5.00,6.25,7.06,2018
Peru,59.00,6.60,9.17,5.00,5.56,5.63,7.65,2018
Croatia,60.00,6.57,9.17,6.07,5.56,5.00,7.06,2018
Dominican Republic,61.00,6.54,9.17,5.36,6.11,5.00,7.06,2018
Mongolia,62.00,6.50,9.17,5.71,5.56,5.00,7.06,2018
Serbia,63=,6.41,8.25,5.36,6.11,5.00,7.35,2018
Tunisia,63=,6.41,6.42,5.71,7.78,6.25,5.88,2018
Indonesia,65.00,6.39,6.92,7.14,6.67,5.63,5.59,2018
Singapore,66=,6.38,4.33,7.86,6.11,6.25,7.35,2018
Romania,66=,6.38,9.17,5.71,5.00,4.38,7.65,2018
Ecuador,68.00,6.27,8.75,5.36,6.11,4.38,6.76,2018
Namibia,69.00,6.25,5.67,5.36,6.67,5.63,7.94,2018
Paraguay,70.00,6.24,8.75,5.71,5.00,4.38,7.35,2018
Sri Lanka,71=,6.19,7.83,5.71,5.00,6.25,6.18,2018
Mexico,71=,6.19,8.33,6.07,7.22,3.13,6.18,2018
Hong Kong,73=,6.15,3.08,6.07,5.56,7.50,8.53,2018
Senegal,73=,6.15,7.50,6.07,4.44,6.25,6.47,2018
Papua New Guinea,75.00,6.03,6.92,6.07,3.89,5.63,7.65,2018
,,,Hybrid regime,,,,,2018
Albania,76.00,5.98,7.00,4.71,5.56,5.00,7.65,2018
El Salvador,77.00,5.96,9.17,4.29,5.56,3.75,7.06,2018
Macedonia,78.00,5.87,6.50,5.36,6.67,3.75,7.06,2018
Moldova,79=,5.85,7.08,4.64,6.11,4.38,7.06,2018
Fiji,79=,5.85,6.58,5.36,6.11,5.63,5.59,2018
Montenegro,81=,5.74,6.08,5.36,6.11,4.38,6.76,2018
Benin,81=,5.74,6.50,5.71,5.00,5.63,5.88,2018
Bolivia,83.00,5.70,7.50,4.64,5.56,3.75,7.06,2018
Ukraine,84.00,5.69,6.17,3.21,6.67,6.25,6.18,2018
Honduras,85.00,5.63,8.50,4.64,4.44,4.38,6.18,2018
Zambia,86.00,5.61,6.17,4.64,3.89,6.88,6.47,2018
Guatemala,87.00,5.60,7.92,5.36,3.89,4.38,6.47,2018
Bangladesh,88.00,5.57,7.83,5.07,5.56,4.38,5.00,2018
Georgia,89.00,5.50,7.83,3.57,6.11,4.38,5.59,2018
Malawi,90.00,5.49,6.58,4.29,4.44,6.25,5.88,2018
Tanzania,91=,5.41,7.00,5.00,5.00,5.63,4.41,2018
Mali,91=,5.41,7.42,3.93,3.89,5.63,6.18,2018
Liberia,93.00,5.35,7.42,2.57,5.56,5.63,5.59,2018
Bhutan,94.00,5.30,8.75,6.79,2.78,4.38,3.82,2018
Madagascar,95.00,5.22,6.08,3.57,6.11,5.63,4.71,2018
Uganda,96.00,5.20,5.25,3.57,4.44,6.88,5.88,2018
Nepal,97.00,5.18,4.33,5.36,5.00,5.63,5.59,2018
Kenya,98=,5.11,3.50,5.36,6.67,5.63,4.41,2018
Kyrgyz Republic,98=,5.11,6.58,2.93,6.67,4.38,5.00,2018
Morocco,100.00,4.99,5.25,4.64,5.00,5.63,4.41,2018
Bosnia and Hercegovina,101.00,4.98,6.50,2.93,5.56,3.75,6.18,2018
Haiti,102.00,4.91,5.58,2.93,3.89,6.25,5.88,2018
Armenia,103.00,4.79,5.67,4.64,5.56,2.50,5.59,2018
Burkina Faso,104.00,4.75,4.42,4.29,4.44,5.63,5.00,2018
Sierra Leone,105.00,4.66,6.58,1.86,3.33,6.25,5.29,2018
Lebanon,106=,4.63,3.92,2.21,6.67,5.63,4.71,2018
Thailand,106=,4.63,3.00,4.29,5.00,5.00,5.88,2018
Nigeria,108.00,4.44,6.08,4.64,3.33,3.75,4.41,2018
Palestine,109.00,4.39,3.83,2.14,7.78,4.38,3.82,2018
Turkey,110.00,4.37,4.50,5.00,5.00,5.00,2.35,2018
Gambia,111.00,4.31,4.48,4.29,3.33,5.63,3.82,2018
Pakistan,112.00,4.17,6.08,5.36,2.22,2.50,4.71,2018
Côte d’Ivoire,113.00,4.15,4.83,2.86,3.33,5.63,4.12,2018
Iraq,114.00,4.06,4.75,0.07,6.67,5.00,3.82,2018
,,,Authoritarian,,,,,2018
Jordan,115.00,3.93,3.58,4.29,3.89,4.38,3.53,2018
Mozambique,116=,3.85,3.58,2.14,5.00,5.00,3.53,2018
Kuwait,116=,3.85,3.17,4.29,3.89,4.38,3.53,2018
Myanmar,118.00,3.83,3.67,3.93,3.89,5.63,2.06,2018
Mauritania,119.00,3.82,3.00,3.57,5.00,3.13,4.41,2018
Niger,120.00,3.76,5.25,1.14,3.33,4.38,4.71,2018
Comoros,121.00,3.71,4.33,2.21,4.44,3.75,3.82,2018
Nicaragua,122.00,3.63,2.67,1.86,3.89,5.63,4.12,2018
Angola,123.00,3.62,1.75,2.86,5.56,5.00,2.94,2018
Gabon,124.00,3.61,2.58,2.21,4.44,5.00,3.82,2018
Cambodia,125.00,3.59,1.33,5.00,2.78,5.63,3.24,2018
Algeria,126.00,3.50,2.58,2.21,3.89,5.00,3.82,2018
Egypt,127.00,3.36,3.58,3.21,3.33,3.75,2.94,2018
Ethiopia,128=,3.35,0.00,3.57,5.56,5.00,2.65,2018
Rwanda,128=,3.35,1.67,5.00,2.78,4.38,2.94,2018
China,130.00,3.32,0.00,5.00,3.89,6.25,1.47,2018
Congo (Brazzaville),131.00,3.31,3.17,2.50,3.89,3.75,3.24,2018
Cameroon,132.00,3.28,3.17,2.86,3.33,4.38,2.65,2018
Qatar,133.00,3.19,0.00,4.29,2.22,5.63,3.82,2018
Zimbabwe,134=,3.16,0.50,2.00,4.44,5.63,3.24,2018
Venezuela,134=,3.16,1.67,1.79,4.44,4.38,3.53,2018
Guinea,136.00,3.14,3.50,0.43,4.44,4.38,2.94,2018
Belarus,137.00,3.13,0.92,2.86,3.89,5.63,2.35,2018
Togo,138.00,3.10,3.17,0.79,3.33,5.00,3.24,2018
Vietnam,139.00,3.08,0.00,3.21,3.89,5.63,2.65,2018
Oman,140.00,3.04,0.00,3.93,2.78,4.38,4.12,2018
Swaziland,141.00,3.03,0.92,2.86,2.22,5.63,3.53,2018
Cuba,142.00,3.00,1.08,3.57,3.33,4.38,2.65,2018
Afghanistan,143.00,2.97,2.92,1.14,4.44,2.50,3.82,2018
Kazakhstan,144=,2.94,0.50,2.14,4.44,4.38,3.24,2018
Russia,144=,2.94,2.17,1.79,5.00,2.50,3.24,2018
Djibouti,146.00,2.87,0.42,1.79,3.89,5.63,2.65,2018
United Arab Emirates,147.00,2.76,0.00,3.93,2.22,5.00,2.65,2018
Bahrain,148.00,2.71,0.83,3.21,2.78,4.38,2.35,2018
Azerbaijan,49.00,2.65,0.50,2.14,3.33,3.75,3.53,2018
Iran,150.00,2.45,0.00,3.21,4.44,3.13,1.47,2018
Eritrea,151=,2.37,0.00,2.14,1.67,6.88,1.18,2018
Laos,151=,2.37,0.83,2.86,1.67,5.00,1.47,2018
Burundi,153.00,2.33,0.00,0.43,3.89,5.00,2.35,2018
Libya,154.00,2.19,1.00,0.36,1.67,5.00,2.94,2018
Sudan,155.00,2.15,0.00,1.79,2.78,5.00,1.18,2018
Uzbekistan,156.00,2.01,0.08,1.86,2.22,5.00,0.88,2018
Guinea-Bissau,157.00,1.98,1.67,0.00,2.78,3.13,2.35,2018
Yemen,158.00,1.95,0.00,0.00,3.89,5.00,0.88,2018
Saudi Arabia,159=,1.93,0.00,2.86,2.22,3.13,1.47,2018
Tajikistan,159=,1.93,0.08,0.79,1.67,6.25,0.88,2018
Equatorial Guinea,161.00,1.92,0.00,0.43,3.33,4.38,1.47,2018
Turkmenistan,162.00,1.72,0.00,0.79,2.22,5.00,0.59,2018
Chad,163.00,1.61,0.00,0.00,1.67,3.75,2.65,2018
Central African Republic,164.00,1.52,2.25,0.00,1.11,1.88,2.35,2018
Democratic Republic of Congo,165.00,1.49,0.50,0.71,2.22,3.13,0.88,2018
Syria,166.00,1.43,0.00,0.00,2.78,4.38,0.00,2018
North Korea,167.00,1.08,0.00,2.50,1.67,1.25,0.00,2018
,Democracy Index 2019,,,,,,,
,Overall Score,Rank, Electoral process and pluralism ,Functioning of government ,Political participation  ,Political culture,Civil liberties,Year
,,,Full democracy,,,,,
Norway,9.87,1,10.00,9.64,10.00,10.00,9.71,2019
Iceland,9.58,2,10.00,9.29,8.89,10.00,9.71,2019
Sweden,9.39,3,9.58,9.64,8.33,10.00,9.41,2019
New Zealand,9.26,4,10.00,9.29,8.89,8.13,10.00,2019
Finland,9.25,5,10.00,8.93,8.89,8.75,9.71,2019
Ireland,9.24,6,10.00,7.86,8.33,10.00,10.00,2019
Denmark,9.22,7=,10.00,9.29,8.33,9.38,9.12,2019
Canada,9.22,7=,9.58,9.64,7.78,9.38,9.71,2019
Australia,9.09,9,10.00,8.93,7.78,8.75,10.00,2019
Switzerland,9.03,10,9.58,9.29,7.78,9.38,9.12,2019
Netherlands,9.01,11,9.58,9.29,8.33,8.75,9.12,2019
Luxembourg,8.81,12,10.00,8.93,6.67,8.75,9.71,2019
Germany,8.68,13,9.58,8.57,8.33,7.50,9.41,2019
United Kingdom,8.52,14,9.58,7.50,8.89,7.50,9.12,2019
Uruguay,8.38,15,10.00,8.57,6.11,7.50,9.71,2019
Austria,8.29,16=,9.58,7.86,8.33,6.88,8.82,2019
Spain,8.29,16=,9.58,7.14,7.78,8.13,8.82,2019
Mauritius,8.22,18,9.17,8.21,5.56,8.75,9.41,2019
Costa Rica,8.13,19,9.58,7.50,6.67,7.50,9.41,2019
France,8.12,20,9.58,7.86,7.78,6.88,8.53,2019
Chile,8.08,21,9.58,8.57,5.00,8.13,9.12,2019
Portugal,8.03,22,9.58,7.86,6.11,7.50,9.12,2019
,,,Flawed democracy,,,,,2019
South Korea,8.00,23,9.17,7.86,7.22,7.50,8.24,2019
Japan,7.99,24,8.75,8.21,6.67,7.50,8.82,2019
United States of America,7.96,25,9.17,7.14,7.78,7.50,8.24,2019
Malta,7.95,26,9.17,7.50,6.11,8.13,8.82,2019
Estonia,7.90,27,9.58,7.86,6.67,6.88,8.53,2019
Israel,7.86,28,9.17,7.86,8.89,7.50,5.88,2019
Botswana,7.81,29,9.17,7.14,6.11,7.50,9.12,2019
Cabo Verde,7.78,30,9.17,7.36,6.67,6.88,8.82,2019
Taiwan,7.73,31,9.58,8.21,6.11,5.63,9.12,2019
Czech Republic,7.69,32,9.58,6.79,6.67,6.88,8.53,2019
Belgium,7.64,33,9.58,8.21,5.00,6.88,8.53,2019
Cyprus,7.59,34,9.17,6.43,6.67,6.88,8.82,2019
Italy,7.52,35,9.58,6.07,7.78,6.25,7.94,2019
Slovenia,7.50,36=,9.58,6.79,6.67,6.25,8.24,2019
Lithuania,7.50,36=,9.58,6.43,6.11,6.25,9.12,2019
Latvia,7.49,38,9.58,6.07,6.11,6.88,8.82,2019
Greece,7.43,39,9.58,4.86,6.67,7.50,8.53,2019
South Africa,7.24,40,7.42,7.50,8.33,5.00,7.94,2019
Timor-Leste,7.19,41,9.58,6.29,5.56,6.88,7.65,2019
Slovakia,7.17,42,9.58,7.14,5.56,5.63,7.94,2019
Malaysia,7.16,43=,9.17,7.86,6.67,6.25,5.88,2019
Trinidad and Tobago,7.16,43=,9.58,7.14,6.11,5.63,7.35,2019
Colombia,7.13,45,9.17,6.79,5.56,5.63,8.53,2019
Panama,7.05,46,9.58,6.07,6.67,5.00,7.94,2019
Bulgaria,7.03,47,9.17,6.43,7.22,4.38,7.94,2019
Argentina,7.02,48,9.17,5.36,6.11,6.25,8.24,2019
Suriname,6.98,49,9.17,6.43,6.67,5.00,7.65,2019
Jamaica,6.96,50,8.75,7.14,4.44,6.25,8.24,2019
India,6.90,51,8.67,6.79,6.67,5.63,6.76,2019
Brazil,6.86,52,9.58,5.36,6.11,5.00,8.24,2019
Tunisia,6.72,53,9.17,5.71,7.22,5.63,5.88,2019
Philippines,6.64,54,9.17,5.36,7.22,4.38,7.06,2019
Ghana,6.63,55=,8.33,5.71,6.67,6.25,6.18,2019
Hungary,6.63,55=,8.75,6.07,5.00,6.25,7.06,2019
Poland,6.62,57,9.17,6.07,6.11,4.38,7.35,2019
Peru,6.60,58,9.17,5.00,5.56,5.63,7.65,2019
Croatia,6.57,59,9.17,6.07,5.56,5.00,7.06,2019
Dominican Republic,6.54,60=,9.17,5.36,6.11,5.00,7.06,2019
Lesotho,6.54,60=,9.17,4.50,6.67,5.63,6.76,2019
Mongolia,6.50,62,9.17,5.71,5.56,5.00,7.06,2019
Romania,6.49,63,9.17,5.71,5.56,4.38,7.65,2019
Indonesia,6.48,64,7.92,7.14,6.11,5.63,5.59,2019
Namibia,6.43,65,6.58,5.36,6.67,5.63,7.94,2019
Serbia,6.41,66,8.25,5.36,6.11,5.00,7.35,2019
Ecuador,6.33,67,8.75,5.36,6.11,4.38,7.06,2019
Thailand,6.32,68,7.42,5.36,6.11,6.25,6.47,2019
Sri Lanka,6.27,69,7.00,6.07,5.56,6.25,6.47,2019
Paraguay,6.24,70,8.75,5.71,5.00,4.38,7.35,2019
El Salvador,6.15,71=,9.17,4.64,6.11,3.75,7.06,2019
Guyana,6.15,71=,6.92,5.36,6.11,5.00,7.35,2019
Mexico,6.09,73,7.83,6.07,7.22,3.13,6.18,2019
Papua New Guinea,6.03,74,6.92,6.07,3.89,5.63,7.65,2019
Hong Kong,6.02,75=,3.58,4.36,6.11,7.50,8.53,2019
Singapore,6.02,75=,3.92,7.86,5.00,6.25,7.06,2019
,,,Hybrid regime,,,,,2019
North Macedonia,5.97,77,7.00,5.36,6.67,3.75,7.06,2019
Ukraine,5.90,78,7.42,2.71,6.67,6.25,6.47,2019
Albania,5.89,79,7.00,5.36,4.44,5.00,7.65,2019
Bangladesh,5.88,80,7.83,6.07,6.11,4.38,5.00,2019
Fiji,5.85,81,6.58,5.36,6.11,5.63,5.59,2019
Senegal,5.81,82,6.08,6.07,4.44,6.25,6.18,2019
Moldova,5.75,83,6.58,4.64,6.11,4.38,7.06,2019
Montenegro,5.65,84,5.67,5.36,6.11,4.38,6.76,2019
Madagascar,5.64,85,7.92,3.57,6.11,5.63,5.00,2019
Armenia,5.54,86,7.50,5.36,6.11,3.13,5.59,2019
Malawi,5.50,87,6.08,4.29,5.00,6.25,5.88,2019
Liberia,5.45,88,7.42,3.07,5.56,5.63,5.59,2019
Georgia,5.42,89=,7.83,3.21,6.11,4.38,5.59,2019
Honduras,5.42,89=,7.83,4.29,4.44,4.38,6.18,2019
Bhutan,5.30,91,8.75,6.79,2.78,4.38,3.82,2019
Nepal,5.28,92,4.83,5.36,5.00,5.63,5.59,2019
Guatemala,5.26,93,6.92,4.64,3.89,4.38,6.47,2019
Kenya,5.18,94,3.50,5.71,6.67,5.63,4.41,2019
Tanzania,5.16,95,5.75,5.00,5.00,5.63,4.41,2019
Morocco,5.10,96,5.25,4.64,5.56,5.63,4.41,2019
Benin,5.09,97=,4.67,5.71,4.44,5.63,5.00,2019
Zambia,5.09,97=,4.75,2.93,4.44,6.88,6.47,2019
Uganda,5.02,99,4.33,3.57,4.44,6.88,5.88,2019
Mali,4.92,100,6.42,3.07,3.89,5.63,5.59,2019
Kyrgyz Republic,4.89,101,6.08,2.93,6.67,3.75,5.00,2019
Bosnia and Hercegovina,4.86,102=,6.17,2.93,5.56,3.75,5.88,2019
Sierra Leone,4.86,102=,6.58,2.86,3.33,6.25,5.29,2019
Bolivia,4.84,104,4.75,3.93,5.00,3.75,6.76,2019
Haiti,4.57,105,4.75,2.07,3.89,6.25,5.88,2019
Lebanon,4.36,106,3.92,1.50,6.67,5.00,4.71,2019
Gambia,4.33,107,4.00,4.29,3.33,5.63,4.41,2019
Pakistan,4.25,108,6.08,5.71,2.22,2.50,4.71,2019
Nigeria,4.12,109,5.17,3.93,3.33,3.75,4.41,2019
Turkey,4.09,110,3.08,5.00,5.00,5.00,2.35,2019
Côte d’Ivoire,4.05,111,4.33,2.86,3.33,5.63,4.12,2019
Burkina Faso,4.04,112,3.92,2.71,4.44,5.00,4.12,2019
Algeria,4.01,113,3.08,2.86,5.00,5.00,4.12,2019
,,,Authoritarian regime,,,,,2019
Jordan,3.93,114=,3.58,4.29,3.89,4.38,3.53,2019
Kuwait,3.93,114=,3.58,4.29,3.89,4.38,3.53,2019
Mauritania,3.92,116,3.50,3.57,5.00,3.13,4.41,2019
Palestine,3.89,117,3.33,0.14,7.78,4.38,3.82,2019
Iraq,3.74,118,5.25,0.00,6.67,5.00,1.76,2019
Angola,3.72,119,2.25,2.86,5.56,5.00,2.94,2019
Mozambique,3.65,120,2.58,2.14,5.00,5.00,3.53,2019
Gabon,3.61,121,2.58,2.21,4.44,5.00,3.82,2019
Myanmar,3.55,122=,3.08,3.93,2.78,5.63,2.35,2019
Nicaragua,3.55,122=,1.25,2.86,3.89,5.63,4.12,2019
Cambodia,3.53,124,0.83,4.64,3.33,5.63,3.24,2019
Ethiopia,3.44,125,0.42,3.57,5.56,5.00,2.65,2019
Togo,3.30,126,3.17,1.79,3.33,5.00,3.24,2019
Niger,3.29,127,2.92,1.14,3.33,4.38,4.71,2019
Qatar,3.19,128,0.00,4.29,2.22,5.63,3.82,2019
Rwanda,3.16,129=,1.42,4.29,2.78,4.38,2.94,2019
Zimbabwe,3.16,129=,0.00,2.50,4.44,5.63,3.24,2019
Comoros,3.15,131,2.08,2.21,3.89,3.75,3.82,2019
eSwatini,3.14,132=,0.92,2.86,2.78,5.63,3.53,2019
Guinea,3.14,132=,3.50,0.43,4.44,4.38,2.94,2019
Congo (Brazzaville),3.11,134=,2.17,2.50,3.89,3.75,3.24,2019
Russia,3.11,134=,2.17,1.79,5.00,2.50,4.12,2019
Vietnam,3.08,136,0.00,3.21,3.89,5.63,2.65,2019
Egypt,3.06,137=,2.67,3.21,3.33,3.75,2.35,2019
Oman,3.06,137=,0.08,3.93,2.78,4.38,4.12,2019
Kazakhstan,2.94,139,0.50,2.14,4.44,4.38,3.24,2019
Venezuela,2.88,140,0.00,1.79,5.00,4.38,3.24,2019
Afghanistan,2.85,141=,3.42,0.64,3.89,2.50,3.82,2019
Cameroon,2.85,141=,1.67,2.50,3.33,4.38,2.35,2019
Cuba,2.84,143,0.00,3.57,3.33,4.38,2.94,2019
Djibouti,2.77,144,0.42,1.29,3.89,5.63,2.65,2019
United Arab Emirates,2.76,145,0.00,3.93,2.22,5.00,2.65,2019
Azerbaijan,2.75,146,0.50,3.21,2.78,3.75,3.53,2019
Sudan,2.70,147,0.00,1.79,5.56,5.00,1.18,2019
Guinea-Bissau,2.63,148,4.92,0.00,2.78,3.13,2.35,2019
Bahrain,2.55,149,0.83,2.71,2.78,4.38,2.06,2019
Belarus,2.48,150,0.92,2.00,2.78,4.38,2.35,2019
Iran,2.38,151,0.00,2.86,4.44,3.13,1.47,2019
Eritrea,2.37,152,0.00,2.14,1.67,6.88,1.18,2019
China,2.26,153,0.00,4.29,3.33,2.50,1.18,2019
Burundi,2.15,154,0.00,0.07,3.33,5.00,2.35,2019
Laos,2.14,155,0.00,2.86,1.67,5.00,1.18,2019
Libya,2.02,156,0.00,0.00,2.78,4.38,2.94,2019
Uzbekistan,2.01,157,0.08,1.86,2.22,5.00,0.88,2019
Yemen,1.95,158,0.00,0.00,3.89,5.00,0.88,2019
Saudi Arabia,1.93,159=,0.00,2.86,2.22,3.13,1.47,2019
Tajikistan,1.93,159=,0.08,0.79,1.67,6.25,0.88,2019
Equatorial Guinea,1.92,161,0.00,0.43,3.33,4.38,1.47,2019
Turkmenistan,1.72,162,0.00,0.79,2.22,5.00,0.59,2019
Chad,1.61,163,0.00,0.00,1.67,3.75,2.65,2019
Syria,1.43,164,0.00,0.00,2.78,4.38,0.00,2019
Central African Republic,1.32,165,1.25,0.00,1.11,1.88,2.35,2019
Democratic Republic of Congo,1.13,166,0.00,0.00,1.67,3.13,0.88,2019
North Korea,1.08,167,0.00,2.50,1.67,1.25,0.00,2019